ID,course,completed,upgraded,gender,country,age,education,job,major,logged_location,registration_year,registration_month,registration_day,registration_hour,registration_minute,withdrawl_year,withdrawl_month,withdrawl_day,withdrawl_hour,withdrawl_minute,completion_year,completion_month,completion_day,completion_hour,completion_minute,upgrade_year,upgrade_month,upgrade_day,upgrade_hour,upgrade_minute
1173394642,2,0,0,0,0,0,0,0,0,56,2012,3,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173424634,2,0,0,0,0,0,0,0,0,148,2012,3,3,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173511472,2,0,0,0,0,0,0,0,0,56,2011,12,16,13,16,2012,1,2,11,40,0,0,0,0,0,0,0,0,0,0
1173537664,2,0,0,0,0,0,0,0,0,131,2012,1,20,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173538609,2,0,0,0,0,0,0,0,0,0,2012,3,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173580905,2,0,0,0,0,0,0,0,0,9,2012,3,1,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173601448,2,0,0,0,0,0,0,0,0,56,2012,2,24,15,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173612293,2,0,0,0,0,0,0,0,0,56,2012,3,18,15,42,2012,3,18,15,47,0,0,0,0,0,0,0,0,0,0
1173632216,2,0,0,0,0,0,0,0,0,75,2012,2,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173646059,2,0,0,0,0,0,0,0,0,56,2012,4,17,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173658089,2,0,0,0,0,0,0,0,0,56,2012,2,4,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173659445,2,0,0,4,36,1,6,3,0,56,2011,12,14,15,30,2012,8,7,9,45,0,0,0,0,0,0,0,0,0,0
1173670375,2,0,0,0,0,0,0,0,0,56,2012,1,26,12,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173695460,2,0,0,0,0,0,0,0,0,72,2012,2,18,20,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173724499,2,0,0,0,0,0,0,0,0,75,2011,12,31,15,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173731277,2,0,0,0,0,0,0,0,0,23,2012,1,10,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173736125,2,0,0,0,0,0,0,0,0,56,2012,2,24,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173778827,2,0,0,1,36,3,6,5,3,56,2012,1,24,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173813257,2,0,0,0,0,0,0,0,0,56,2012,3,6,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173816290,2,0,0,0,0,0,0,0,0,56,2012,2,14,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173816299,2,0,0,0,0,0,0,0,0,93,2012,3,3,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173970835,2,0,0,2,7,3,6,7,11,9,2012,3,1,9,37,2012,3,9,10,46,0,0,0,0,0,0,0,0,0,0
1173970835,2,0,0,0,0,0,0,0,0,56,2011,12,16,19,28,2012,3,1,21,52,0,0,0,0,0,0,0,0,0,0
1173985595,2,0,0,0,0,0,0,0,0,15,2012,3,9,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174098747,2,0,0,0,0,0,0,0,0,15,2012,2,17,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174105466,2,0,0,0,0,0,0,0,0,56,2011,12,14,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174151517,2,0,0,0,0,0,0,0,0,141,2012,3,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174201558,2,0,0,0,0,0,0,0,0,161,2012,2,2,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174204073,2,0,0,0,0,0,0,0,0,56,2012,1,4,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174298478,2,0,0,0,0,0,0,0,0,165,2012,2,10,8,49,2013,6,10,21,51,0,0,0,0,0,0,0,0,0,0
1174311441,2,0,0,0,0,0,0,0,0,56,2012,1,5,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
